E4_Bvp, 1695650258.70163, 1695650258.687, -0.0146257877349854
E4_Bvp, 1695650258.87351, 1695650258.865, -0.00850892066955566
E4_Bvp, 1695650259.04539, 1695650259.045, -0.000391721725463867
E4_Bvp, 1695650259.21727, 1695650259.202, -0.0152750015258789
E4_Bvp, 1695650259.38916, 1695650259.382, -0.00715780258178711
E4_Bvp, 1695650259.56104, 1695650259.562, 0.000959396362304688
E4_Bvp, 1695650259.73292, 1695650259.72, -0.0129237174987793
E4_Bvp, 1695650259.90481, 1695650259.9, -0.0048065185546875
E4_Bvp, 1695650260.07669, 1695650260.08, 0.0033104419708252
E4_Bvp, 1695650260.24857, 1695650260.237, -0.0115725994110107
E4_Bvp, 1695650260.42046, 1695650260.44, 0.0195446014404297
E4_Bvp, 1695650260.59234, 1695650260.576, -0.016338586807251
E4_Bvp, 1695650260.76422, 1695650260.755, -0.00922131538391113
E4_Bvp, 1695650260.9361, 1695650260.936, -0.000104188919067383
E4_Bvp, 1695650261.10799, 1695650261.092, -0.0159873962402344
E4_Bvp, 1695650261.27987, 1695650261.272, -0.00787019729614258
E4_Bvp, 1695650261.45175, 1695650261.452, 0.000246524810791016
E4_Bvp, 1695650261.62364, 1695650261.61, -0.0136363506317139
E4_Bvp, 1695650261.79552, 1695650261.79, -0.00551915168762207
E4_Bvp, 1695650261.9674, 1695650261.97, 0.00259780883789063
E4_Bvp, 1695650262.13929, 1695650262.127, -0.0122849941253662
E4_Bvp, 1695650262.31117, 1695650262.308, -0.00316810607910156
E4_Bvp, 1695650262.48305, 1695650262.465, -0.0180511474609375
E4_Bvp, 1695650262.65493, 1695650262.645, -0.0099339485168457
E4_Bvp, 1695650262.82682, 1695650262.826, -0.000817060470581055
E4_Bvp, 1695650262.9987, 1695650262.982, -0.0166997909545898
E4_Bvp, 1695650263.17058, 1695650263.162, -0.00858283042907715
E4_Bvp, 1695650263.34247, 1695650263.342, -0.000465869903564453
E4_Bvp, 1695650263.51435, 1695650263.5, -0.0143487453460693
E4_Bvp, 1695650263.68623, 1695650263.68, -0.00623178482055664
E4_Bvp, 1695650263.85811, 1695650263.86, 0.00188517570495605
E4_Bvp, 1695650264.03, 1695650264.017, -0.0129976272583008
E4_Bvp, 1695650264.20188, 1695650264.197, -0.00488066673278809
E4_Bvp, 1695650264.37376, 1695650264.355, -0.018763542175293
E4_Bvp, 1695650264.54565, 1695650264.535, -0.0106465816497803
E4_Bvp, 1695650264.71753, 1695650264.737, 0.0194704532623291
E4_Bvp, 1695650264.88941, 1695650264.872, -0.0174124240875244
E4_Bvp, 1695650265.0613, 1695650265.075, 0.0137045383453369
E4_Bvp, 1695650265.23318, 1695650265.256, 0.0228216648101807
E4_Bvp, 1695650265.40506, 1695650265.39, -0.0150613784790039
E4_Bvp, 1695650265.57694, 1695650265.596, 0.0190556049346924
E4_Bvp, 1695650265.74883, 1695650265.75, 0.00117278099060059
E4_Bvp, 1695650265.92071, 1695650265.93, 0.00928974151611328
E4_Bvp, 1695650266.09259, 1695650266.088, -0.0045931339263916
E4_Bvp, 1695650266.26448, 1695650266.245, -0.0194761753082275
E4_Bvp, 1695650266.43636, 1695650266.425, -0.0113592147827148
E4_Bvp, 1695650266.60824, 1695650266.605, -0.00324201583862305
E4_Bvp, 1695650266.78013, 1695650266.764, -0.0161252021789551
E4_Bvp, 1695650266.95201, 1695650266.943, -0.00900793075561523
E4_Bvp, 1695650267.12389, 1695650267.123, -0.000890970230102539
E4_Bvp, 1695650267.29577, 1695650267.28, -0.0157740116119385
E4_Bvp, 1695650267.46766, 1695650267.46, -0.00765681266784668
E4_Bvp, 1695650267.63954, 1695650267.64, 0.000460147857666016
E4_Bvp, 1695650267.81142, 1695650267.797, -0.0144228935241699
E4_Bvp, 1695650267.98331, 1695650267.977, -0.00630569458007813
E4_Bvp, 1695650268.15519, 1695650268.135, -0.0201888084411621
E4_Bvp, 1695650268.32707, 1695650268.317, -0.0100717544555664
E4_Bvp, 1695650268.49895, 1695650268.495, -0.00395488739013672
E4_Bvp, 1695650268.67084, 1695650268.653, -0.0178375244140625
E4_Bvp, 1695650268.84272, 1695650268.832, -0.0107204914093018
E4_Bvp, 1695650269.0146, 1695650269.013, -0.00160360336303711
E4_Bvp, 1695650269.18649, 1695650269.17, -0.0164864063262939
E4_Bvp, 1695650269.35837, 1695650269.35, -0.00836944580078125
E4_Bvp, 1695650269.53025, 1695650269.53, -0.000252485275268555
E4_Bvp, 1695650269.70214, 1695650269.687, -0.0151352882385254
E4_Bvp, 1695650269.87402, 1695650269.867, -0.0070183277130127
E4_Bvp, 1695650270.0459, 1695650270.047, 0.0010986328125
E4_Bvp, 1695650270.21778, 1695650270.205, -0.0127842426300049
E4_Bvp, 1695650270.38967, 1695650270.385, -0.00466728210449219
E4_Bvp, 1695650270.56155, 1695650270.543, -0.0185501575469971
E4_Bvp, 1695650270.73343, 1695650270.722, -0.0114333629608154
E4_Bvp, 1695650270.90532, 1695650270.925, 0.019683837890625
E4_Bvp, 1695650271.0772, 1695650271.06, -0.0171990394592285
E4_Bvp, 1695650271.24908, 1695650271.24, -0.00908207893371582
E4_Bvp, 1695650271.42096, 1695650271.42, -0.000964879989624023
E4_Bvp, 1695650271.59285, 1695650271.577, -0.0158481597900391
E4_Bvp, 1695650271.76473, 1695650271.758, -0.00673103332519531
E4_Bvp, 1695650271.93661, 1695650271.937, 0.000386238098144531
E4_Bvp, 1695650272.1085, 1695650272.095, -0.0134968757629395
E4_Bvp, 1695650272.28038, 1695650272.275, -0.00537967681884766
